itemId,name,desc,desc1,skillName,skillDesc
42202,武功秘笈（魯道）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42203,武功秘笈（一眉道姑）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42204,武功秘笈（獸心）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42205,武功秘笈（楊桃）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42206,武功秘笈（無鳴）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42207,武功秘笈（滅靈童屍）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42208,武功秘笈（齊格棋）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42209,武功秘笈（一品）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42210,武功秘笈（鬼劍）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42301,武功秘笈（極品元）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42302,武功秘笈（屍眼）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42303,武功秘笈（蓮心）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42304,武功秘笈（絕影）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42305,武功秘笈（狼使）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42306,武功秘笈（無量）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42307,武功秘笈（八極神將-乾）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42308,武功秘笈（僵屍熊貓）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42309,武功秘笈（弑道）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42310,武功秘笈（黃絹）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42311,武功秘笈（應天長）,使用後增加30000點經驗，並有概率提升技能等級。,,,
51101,離火之晶,合成火屬武將魂石的珍貴材料,,,
51102,坎水之晶,合成水屬武將魂石的珍貴材料,,,
51103,震木之晶,合成木屬武將魂石的珍貴材料,,,
52101,魂石（慧元）,收集10個可召喚慧元，亦是慧元進階必備材料。,,,
52102,魂石（我道行）,收集10個可召喚我道行，亦是我道行進階必備材料。,,,
52103,魂石（化骨龍）,收集10個可召喚化骨龍，亦是化骨龍進階必備材料。,,,
52104,魂石（赤鴉）,收集20個可召喚赤鴉，亦是赤鴉進階必備材料。,,,
52105,魂石（逆道）,收集10個可召喚逆道，亦是逆道進階必備材料。,,,
52106,魂石（夜瞳）,收集10個可召喚夜瞳，亦是夜瞳進階必備材料。,,,
52107,魂石（小品）,收集20個可召喚小品，亦是小品進階必備材料。,,,
52108,魂石（狂徒）,收集20個可召喚狂徒，亦是狂徒進階必備材料。,,,
52109,魂石（焰焰）,收集40個可召喚焰焰，亦是焰焰進階必備材料。,,,
52110,魂石（空）,收集30個可召喚空，亦是空進階必備材料。,,,
52201,魂石（九品）,收集10個可召喚九品，亦是九品進階必備材料。,,,
52202,魂石（魯道）,收集10個可召喚魯道，亦是魯道進階必備材料。,,,
52203,魂石（一眉道姑）,收集20個可召喚一眉道姑，亦是一眉道姑進階必備材料。,,,
52204,魂石（獸心）,收集10個可召喚獸心，亦是獸心進階必備材料。,,,
52205,魂石（楊桃）,收集30個可召喚楊桃，亦是楊桃進階必備材料。,,,
52206,魂石（無鳴）,收集20個可召喚無鳴，亦是無鳴進階必備材料。,,,
52207,魂石（滅靈童屍）,收集30個可召喚滅靈童屍，亦是滅靈童屍進階必備材料。,,,
52208,魂石（齊格棋）,收集30個可召喚齊格棋，亦是齊格棋進階必備材料。,,,
52209,魂石（一品）,收集40個可召喚一品，亦是一品進階必備材料。,,,
52210,魂石（鬼劍）,收集30個可召喚鬼劍，亦是鬼劍進階必備材料。,,,
52301,魂石（極品元）,收集10個可召喚極品元，亦是極品元進階必備材料。,,,
52302,魂石（屍眼）,收集10個可召喚屍眼，亦是屍眼進階必備材料。,,,
52303,魂石（蓮心）,收集20個可召喚蓮心，亦是蓮心進階必備材料。,,,
52304,魂石（絕影）,收集10個可召喚絕影，亦是絕影進階必備材料。,,,
52305,魂石（狼使）,收集10個可召喚狼使，亦是狼使進階必備材料。,,,
52306,魂石（無量）,收集20個可召喚無量，亦是無量進階必備材料。,,,
52307,魂石（八極神將-乾）,收集20個可召喚八極神將-乾，亦是八極神將-乾進階必備材料。,,,
52308,魂石（僵屍熊貓）,收集30個可召喚僵屍熊貓，亦是僵屍熊貓進階必備材料。,,,
52309,魂石（弑道）,收集30個可召喚弑道，亦是弑道進階必備材料。,,,
52310,魂石（黃絹）,收集40個可召喚黃絹，亦是黃絹進階必備材料。,,,
52311,魂石（應天長）,收集30個可召喚應天長，亦是應天長進階必備材料。,,,
